test,Tool,rep_1,tool_2,rep_2,Fractional distance
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.2396694214876033
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.3181818181818182
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.2809917355371901
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.3347107438016529
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.1446280991735537
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17768595041322313
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17768595041322313
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.2066115702479339
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.1652892561983471
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.05371900826446281
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.17355371900826447
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.17355371900826447
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.17355371900826447
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.16115702479338842
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.17768595041322313
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.1652892561983471
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.16942148760330578
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.1487603305785124
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.1859504132231405
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.18181818181818182
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.1446280991735537
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.13636363636363635
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.18181818181818182
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.1652892561983471
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.17355371900826447
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17355371900826447
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18181818181818182
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2231404958677686
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.28512396694214875
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.06611570247933884
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.21487603305785125
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.2066115702479339
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.23140495867768596
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.2975206611570248
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.17355371900826447
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.16942148760330578
