test,Tool,rep_1,tool_2,rep_2,Fractional distance
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12087912087912088
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.08791208791208792
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.0989010989010989
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.09230769230769231
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13626373626373625
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.07252747252747253
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14065934065934066
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14065934065934066
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.26373626373626374
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18681318681318682
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13846153846153847
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.09230769230769231
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.08131868131868132
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13846153846153847
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.0989010989010989
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.01978021978021978
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16703296703296702
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17362637362637362
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.05934065934065934
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16923076923076924
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14285714285714285
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.18461538461538463
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.1824175824175824
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14725274725274726
